Filter	filter
GT	format
AF	format
DP	info
Feature	vep
Preferred	pref
CANONICAL	vep
Allele	vep
Consequence	vep
IMPACT	vep
SYMBOL	vep
Gene	vep
DP	info
Feature_type	vep
BIOTYPE	vep
EXON	vep
INTRON	vep
HGVSc	vep
HGVSp	vep
cDNA_position	vep
CDS_position	vep
Protein_position	vep
Amino_acids	vep
Codons	vep
Existing_variation	vep
DISTANCE	vep
STRAND	vep
FLAGS	vep
VARIANT_CLASS	vep
SYMBOL_SOURCE	vep
HGNC_ID	vep
TSL	vep
APPRIS	vep
CCDS	vep
ENSP	vep
SWISSPROT	vep
TREMBL	vep
UNIPARC	vep
REFSEQ_MATCH	vep
GENE_PHENO	vep
SIFT	vep
PolyPhen	vep
DOMAINS	vep
HGVS_OFFSET	vep
GMAF	vep
AFR_MAF	vep
AMR_MAF	vep
EAS_MAF	vep
EUR_MAF	vep
SAS_MAF	vep
AA_MAF	vep
EA_MAF	vep
ExAC_MAF	vep
ExAC_Adj_MAF	vep
ExAC_AFR_MAF	vep
ExAC_AMR_MAF	vep
ExAC_EAS_MAF	vep
ExAC_FIN_MAF	vep
ExAC_NFE_MAF	vep
ExAC_OTH_MAF	vep
ExAC_SAS_MAF	vep
CLIN_SIG	vep
SOMATIC	vep
PHENO	vep
PUBMED	vep
MOTIF_NAME	vep
MOTIF_POS	vep
HIGH_INF_POS	vep
MOTIF_SCORE_CHANGE	vep
